5.0, 3, Prefontaine (1997)
5.0, 3, Star Kid (1997)
5.0, 2, "Saint of Fort Washington, The (1993)"
5.0, 2, Santa with Muscles (1996)
5.0, 1, "Great Day in Harlem, A (1994)"
5.0, 1, They Made Me a Criminal (1939)
5.0, 1, Marlene Dietrich: Shadow and Light (1996) 
5.0, 1, Aiqing wansui (1994)
5.0, 1, Someone Else's America (1995)
5.0, 1, Entertaining Angels: The Dorothy Day Story (1996)
4.625, 8, Pather Panchali (1955)
4.5, 4, Maya Lin: A Strong Clear Vision (1994)
4.5, 2, Anna (1996)
4.5, 2, Everest (1998)
4.5, 2, Some Mother's Son (1996)
4.491071428571429, 112, "Close Shave, A (1995)"
4.4655172413793105, 116, "Wrong Trousers, The (1993)"
4.462585034013605, 294, Schindler's List (1993)
4.454545454545454, 242, Casablanca (1942)
4.447761194029851, 67, Wallace & Gromit: The Best of Aardman Animation (1996)
4.445229681978798, 283, "Shawshank Redemption, The (1994)"
4.3936170212765955, 188, Rear Window (1954)
4.385767790262173, 267, "Usual Suspects, The (1995)"
4.3584905660377355, 583, Star Wars (1977)
4.346774193548387, 124, 12 Angry Men (1957)
4.338028169014085, 71, "Third Man, The (1949)"
4.333333333333333, 3, "Letter From Death Row, A (1998)"
4.333333333333333, 3, Bitter Sugar (Azucar Amargo) (1996)
4.292929292929293, 198, Citizen Kane (1941)
4.2926829268292686, 41, Some Folks Call It a Sling Blade (1993)
4.292237442922374, 219, To Kill a Mockingbird (1962)
4.2897727272727275, 176, North by Northwest (1959)
4.28974358974359, 390, "Silence of the Lambs, The (1991)"
4.289575289575289, 259, One Flew Over the Cuckoo's Nest (1975)
4.2895377128953776, 411, "Godfather, The (1972)"
4.262626262626263, 198, Good Will Hunting (1997)
4.2625, 160, Secrets & Lies (1996)
4.260869565217392, 46, Shall We Dance? (1996)
4.259541984732825, 131, "Manchurian Candidate, The (1962)"
4.252577319587629, 194, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
4.2514450867052025, 346, Titanic (1997)
4.250596658711217, 419, Raiders of the Lost Ark (1981)
4.25, 8, Kaspar Hauser (1993)
4.25, 4, Crossfire (1947)
4.25, 4, "Innocents, The (1961)"
4.247191011235955, 178, Vertigo (1958)
4.232558139534884, 172, Lawrence of Arabia (1962)
4.231343283582089, 134, "Maltese Falcon, The (1941)"
4.228426395939087, 197, "Boot, Das (1981)"
4.212121212121212, 33, Paths of Glory (1957)
