1204, To Be or Not to Be (1942), 4
1195, Strawberry and Chocolate (Fresa y chocolate) (1993), 4
1144, "Quiet Room, The (1996)", 4
1143, Hard Eight (1996), 4
1132, Feeling Minnesota (1996), 4
1040, Two if by Sea (1996), 4
1008, I Shot Andy Warhol (1996), 4
967, Little Lord Fauntleroy (1936), 4
964, "Month by the Lake, A (1995)", 4
924, White Squall (1996), 4
710, Better Off Dead... (1985), 4
695, Kicking and Screaming (1995), 4
662, Somewhere in Time (1980), 4
660, Fried Green Tomatoes (1991), 4
658, Pump Up the Volume (1990), 4
657, "Manchurian Candidate, The (1962)", 4
655, Stand by Me (1986), 4
652, Rosencrantz and Guildenstern Are Dead (1990), 4
649, Once Upon a Time in America (1984), 4
648, "Quiet Man, The (1952)", 4
642, "Grifters, The (1990)", 4
634, Microcosmos: Le peuple de l'herbe (1996), 4
616, Night of the Living Dead (1968), 4
614, Giant (1956), 4
612, Lost Horizon (1937), 4
607, Rebecca (1940), 4
605, Meet Me in St. Louis (1944), 4
604, It Happened One Night (1934), 4
602, "American in Paris, An (1951)", 4
590, Hellraiser: Bloodline (1996), 4
531, Shine (1996), 4
529, My Life as a Dog (Mitt liv som hund) (1985), 4
528, "Killing Fields, The (1984)", 4
526, Ben-Hur (1959), 4
525, "Big Sleep, The (1946)", 4
521, "Deer Hunter, The (1978)", 4
520, "Great Escape, The (1963)", 4
516, Local Hero (1983), 4
514, Annie Hall (1977), 4
513, "Third Man, The (1949)", 4
512, Wings of Desire (1987), 4
506, Rebel Without a Cause (1955), 4
499, Cat on a Hot Tin Roof (1958), 4
497, Bringing Up Baby (1938), 4
495, Around the World in 80 Days (1956), 4
494, His Girl Friday (1940), 4
491, "Adventures of Robin Hood, The (1938)", 4
490, To Catch a Thief (1955), 4
489, Notorious (1946), 4
488, Sunset Blvd. (1950), 4
485, My Fair Lady (1964), 4
484, "Maltese Falcon, The (1941)", 4
481, "Apartment, The (1960)", 4
480, North by Northwest (1959), 4
479, Vertigo (1958), 4
475, Trainspotting (1996), 4
428, Harold and Maude (1971), 4
409, Jack (1996), 4
358, Spawn (1997), 4
